id,genre,class,num_class,popularity,duration,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,valence
7bCfHiRcfUjG0YVVNUL7Ve,viral rap,rap,0,84,105176,0.614,0.937,0.00136,0.103,-7.443,1.0,0.115,84.98,0.386
6qUabsNxudatEFedWGHoDh,rap,rap,0,74,207394,0.859,0.77,0.0,0.0731,-5.358,0.0,0.345,155.025,0.348
3v84EI4rMdsqJ95MxwIjQa,melodic rap,rap,0,67,101353,0.735,0.662,0.0,0.153,-7.862,1.0,0.05,87.999,0.124
6OqrJqDMu15AGJHJazg9Nr,dance pop,pop,1,25,203064,0.702,0.825,0.0,0.0674,-3.787,0.0,0.0601,102.977,0.915
7o4gBbTM6UBLkOYPw9xMCz,trap,rap,0,82,170232,0.928,0.341,0.0,0.162,-10.196,0.0,0.103,129.966,0.745
3NxFTRr0692mbC5hD0nEZD,chicago rap,rap,0,67,128014,0.796,0.426,2.73e-05,0.0941,-13.207,1.0,0.285,150.043,0.649
55Am8neGJkdj2ADaM3aw5H,pop,pop,1,88,208826,0.311,0.485,0.0,0.0726,-5.726,0.0,0.0365,77.355,0.225
4y4spB9m0Q6026KfkAvy9Q,canadian pop,pop,1,88,149297,0.631,0.239,0.0,0.116,-7.071,0.0,0.0398,79.859,0.0927
4Gt2kh3QbAGU6yquOWn4aW,electropop,pop,1,77,146375,0.703,0.657,0.0,0.093,-5.363,1.0,0.0783,82.96,0.455
1IlJZCRthVEPlksVzj3JWY,detroit trap,rap,0,66,173500,0.956,0.72,0.0,0.117,-2.73,0.0,0.173,127.943,0.282
71hBQ9qHsZU2M3vDF8MtaN,pop,pop,1,25,148988,0.757,0.536,0.0,0.645,-6.818,1.0,0.0466,103.931,0.205
4HvE2E9rXJDcQhE4YfeNuG,art pop,pop,1,68,200661,0.403,0.245,4.74e-05,0.119,-11.862,1.0,0.0569,128.333,0.148
7E2C5rBLpCKwQlhJPVFBRS,alabama rap,rap,0,82,226220,0.575,0.609,0.0,0.105,-4.88,0.0,0.121,83.004,0.339
3w6f34fBUXOvuko0Ihq7he,dance pop,pop,1,62,194746,0.496,0.502,0.0,0.0935,-7.696,1.0,0.052,78.042,0.144
065J6YUGz8tN0A3TkRrWtP,chicago rap,rap,0,55,178553,0.797,0.66,3.13e-06,0.201,-8.156,1.0,0.386,149.997,0.796
5nWVyZaCwtfAkBnwDuXjBh,pop,pop,1,53,144027,0.784,0.496,0.0,0.113,-5.746,1.0,0.0435,100.002,0.132
7igeByaBM0MgGsgXtNxDJ7,dance pop,pop,1,41,172324,0.736,0.802,0.0,0.094,-4.759,1.0,0.0864,144.005,0.675
